Title,Link,Views
My sister's HUSBAND made FUN of my DEAD DAD so I ENDED HIS. ğŸ˜ˆ,https://www.youtube.com/shorts/2UvoADtZje0,325000
"I made FUN of my SISTER'S BABY, so she RUINED my life.",https://www.youtube.com/shorts/8-BR2wAKhPk,1000000
Whatâ€™s the most TRAUMATIZING thing youâ€™ve EVER seen? ğŸ¤”,https://www.youtube.com/shorts/_SyP8dtmjuM,72000
What's the most UNETHICAL parenting hack YOU know? ğŸ¤”,https://www.youtube.com/shorts/CyF3nP3OI3E,609000
"My wife CHEATED on me, so I got INSTANT KARMA. ğŸ˜ˆ",https://www.youtube.com/shorts/1Y1ylODalSg,489000
What is the DUMBEST thing you EVER said? ğŸ¤”,https://www.youtube.com/shorts/Z5xkPkbe22I,232000
"My wife OPENED her legs to SOMEONE ELSE, so I got INSTANT KARMA. ğŸ˜ˆ",https://www.youtube.com/shorts/AYGUFebKCfA,309000
"My sister tried to RUIN my life, so I got INSTANT KARMA. ğŸ˜ˆ",https://www.youtube.com/shorts/bHSuzTn62jc,2500000
How did the new DEADPOOL movie RUIN your life FOREVER? ğŸ¤”ğŸ”´,https://www.youtube.com/shorts/9KzzU-KzW_o,2000000
"My wife CHEATED on me, so I gave her INSTANT KARMA ğŸ˜ˆ",https://www.youtube.com/shorts/w8xwZYrUVPY,1900000
Was this deserved? ğŸ¤”,https://www.youtube.com/shorts/z3HjkRtm0Yo,4600000
What's the best revenge you ever got on a karen?,https://www.youtube.com/shorts/meG_G2wiQlU,1600000
What did the quiet kid in your class do? ğŸ¤”,https://www.youtube.com/shorts/cBhi82GkRWY,4300000
"My sister RUINED my RELATIONSHIP, so I watched her WORLD FALL APART. ğŸ˜ˆ",https://www.youtube.com/shorts/15XBHWfErag,4000000
What was the most embarrassing moment in your life? ğŸ¤”,https://www.youtube.com/shorts/6pmopyigV9Q,315000
What's your biggest regret? ğŸ¤”,https://www.youtube.com/shorts/U2e02tGvaFI,5000000
"Uncircumcised men, what happens if you donâ€™t clean under the extra skin?",https://www.youtube.com/shorts/CUWemtiaeEk,116000
"My fiancÃ© DEMANDS to INVITE his girl best friend to our WEDDING, so I gave him INSTANT KARMA. ğŸ¤”",https://www.youtube.com/shorts/mOUMGuBJVGM,2900000
How did you almost d*e? ğŸ¤”,https://www.youtube.com/shorts/7czYwOZh9lA,2400000
What's the biggest lie you were told as a child? ğŸ¤”,https://www.youtube.com/shorts/a8-3q7xvQYM,1300000
What was the worst revenge you ever had? ğŸ¤”,https://www.youtube.com/shorts/BjJZ736MjUY,1200000
What secrets do girls never tell guys? ğŸ¤”,https://www.youtube.com/shorts/x5XXFl4kiYQ,2500000
What was the nastiest thing you've ever done? ğŸ¤”,https://www.youtube.com/shorts/ANfSIuWjooc,397000
What's the saddest meal you ever ate? ğŸ¤”,https://www.youtube.com/shorts/UAZx1X25er8,2700000
What was the best revenge you've ever gotten? ğŸ¤”,https://www.youtube.com/shorts/cHPptJw5Ios,12000000
My daughter d*ed and I couldnâ€™t be happier.,https://www.youtube.com/shorts/rZ_WfEE4idY,386000
Why did you kick your daughter's creepy boyfriend? ğŸ¤”,https://www.youtube.com/shorts/ii5aqSyukMI,128000
Why can't you forgive your parents? ğŸ¤”,https://www.youtube.com/shorts/1y-2m2G6Yqs,4200000
My thick cousin sat on my meat during a car ride and I enjoyed it... ğŸ˜ˆ,https://www.youtube.com/shorts/bplRSUVSgEo,108000
I smashed the brains off my brother... ğŸ’€ğŸ˜ˆ,https://www.youtube.com/shorts/SQeXPJr9Yj4,130000
I gave my sister's friend back shots and it was amazing. ğŸ˜ğŸ˜ˆ,https://www.youtube.com/shorts/hmAxJR9cP5c,378000
My sonâ€™s friend busted all over my face. ğŸ¤”,https://www.youtube.com/shorts/8SLZYn-LFQc,412000
What was your best â€œdrakeâ€ moment? ğŸ¤”,https://www.youtube.com/shorts/gh0MFlQbBCY,248000
What's the secret you can't tell anyone about or they will hate you? ğŸ¤”,https://www.youtube.com/shorts/6jLh3P5TGEU,63000
Who is the most devious man you know? ğŸ¤”,https://www.youtube.com/shorts/6aaz5CjX8a8,174000
